"No.","Time","Source","Destination","Protocol","Length","Info"
"59","3.611578","192.168.43.56","52.112.89.131","UDP","1269","50057  >  3481 Len=1227"
"60","3.639187","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"61","3.746785","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=1 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"62","3.746785","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=1371 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"63","3.747047","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2a01:111:f100:7000::6fdd:50c4","TCP","74","49503  >  443 [ACK] Seq=1 Ack=2741 Win=256 Len=0"
"64","3.747149","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=2741 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"65","3.752372","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=4111 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"66","3.752456","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2a01:111:f100:7000::6fdd:50c4","TCP","74","49503  >  443 [ACK] Seq=1 Ack=5481 Win=256 Len=0"
"67","3.762260","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=5481 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"68","3.775586","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=6851 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"69","3.775687","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2a01:111:f100:7000::6fdd:50c4","TCP","74","49503  >  443 [ACK] Seq=1 Ack=8221 Win=256 Len=0"
"70","3.787186","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=8221 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"71","3.790530","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","443  >  49503 [ACK] Seq=9591 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
"72","3.790629","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2a01:111:f100:7000::6fdd:50c4","TCP","74","49503  >  443 [ACK] Seq=1 Ack=10961 Win=256 Len=0"
"73","3.856822","2a01:111:f100:7000::6fdd:50c4","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","TCP","1444","[TCP Previous segment not captured] 443  >  49503 [ACK] Seq=13701 Ack=1 Win=2049 Len=1370 [TCP segment of a reassembled PDU]"
